Country,Year,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Ireland,2020,7.093699932,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172
Germany,2020,7.075799942,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031
United States,2020,6.939599991,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316
Czech Republic,2020,6.910900116,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624
Belgium,2020,6.863500118,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952
United Arab Emirates,2020,6.790800095,11.1099987,0.849181116,67.08278656,0.941345513,0.123450845,0.594502211
Malta,2020,6.772799969,10.53383827,0.93037951,72.19999695,0.924911439,0.214965805,0.658547282
France,2020,6.663799763,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128
Mexico,2020,6.465000153,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585
Taiwan Province of China,2020,6.45539999,10.77568531,0.894309103,69.59999847,0.77153033,-0.073198698,0.73188293
Uruguay,2020,6.440100193,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136
Saudi Arabia,2020,6.406499863,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512
Spain,2020,6.400899887,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902
Guatemala,2020,6.398900032,8.924805641,0.816621482,64.8089447,0.908147573,-0.042938665,0.783237457
Italy,2020,6.38740015,10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,0.873404682
Singapore,2020,6.377099991,11.39552116,0.910268962,76.80458069,0.926645339,0.029879224,0.109784193
Brazil,2020,6.375599861,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273
Slovenia,2020,6.363399982,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021
El Salvador,2020,6.34829998,8.909075737,0.806092262,66.10826111,0.833805263,-0.121072978,0.754319906
Kosovo,2020,6.325200081,9.204429626,0.820726514,63.88555527,0.861535907,0.190933764,0.922328293
Panama,2020,6.304800034,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905
Slovakia,2020,6.280600071,10.34774971,0.922493756,68.90634155,0.749952674,-0.124409303,0.918096125
Uzbekistan,2020,6.257599831,8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388
Chile,2020,6.228499889,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431
Bahrain,2020,6.227300167,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471
Lithuania,2020,6.215499878,10.34362602,0.926107109,67.29407501,0.747381449,-0.219725296,0.809583843
Trinidad and Tobago,2020,6.191899776,10.26000214,0.91529417,63.5,0.857907116,0.000526841,0.912230611
Poland,2020,6.186299801,10.26512432,0.874257445,69.31113434,0.862055779,-0.205084071,0.686927021
Colombia,2020,6.163400173,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181
Cyprus,2020,6.15899992,10.40570259,0.805996239,73.70222473,0.779858291,0.043731496,0.856271744
Nicaragua,2020,6.13710022,8.493160248,0.857497036,67.50717926,0.863902867,0.020959141,0.665950119
Romania,2020,6.123700142,10.107584,0.825161517,67.20723724,0.842823207,-0.19781521,0.934300244
Kuwait,2020,6.102099895,11.08982468,0.846475244,66.76764679,0.872366488,-0.100184701,0.760849059
Mauritius,2020,6.101299763,9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,0.805343091
Kazakhstan,2020,6.057899952,10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,0.764490843
Estonia,2020,6.021800041,10.34001732,0.934729993,68.60495758,0.87770915,-0.111697771,0.623073816
Philippines,2020,6.006000042,8.993545532,0.846730053,61.92676163,0.915463448,-0.105463006,0.733634114
Hungary,2020,6.000400066,10.24924374,0.921934128,67.60997009,0.718964577,-0.194323018,0.892916501
Thailand,2020,5.998799801,9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,0.886272311
Argentina,2020,5.974699974,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842
Honduras,2020,5.953199863,8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,0.801131904
Latvia,2020,5.949999809,10.17531967,0.918288589,66.8074646,0.671237648,-0.186888844,0.795580089
Ecuador,2020,5.925199986,9.246058464,0.836418986,68.50003815,0.859828949,-0.127014965,0.801215112
Portugal,2020,5.910900116,10.26374245,0.886590719,72.40202332,0.888747811,-0.220714301,0.892629504
Jamaica,2020,5.889800072,9.006250381,0.915701866,67.09999847,0.858068526,-0.125106767,0.888890028
South Korea,2020,5.872399807,10.51056671,0.799387157,73.6027298,0.612965107,-0.043404032,0.789067447
Japan,2020,5.870800018,10.57968903,0.883545935,75.00096893,0.809961379,-0.246910349,0.654558063
Peru,2020,5.796800137,9.456313133,0.831075251,68.10023499,0.824766099,-0.16238822,0.893714964
Serbia,2020,5.77820015,9.680980682,0.881475747,68.21020508,0.726495862,-0.073676221,0.843509018
Bolivia,2020,5.747499943,8.851115227,0.803108692,63.6004715,0.875873327,-0.09168113,0.822606206
Pakistan,2020,5.69329977,8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,0.745705426
Paraguay,2020,5.692100048,9.389982224,0.898727894,65.63993835,0.885923445,0.007997713,0.834788501
Dominican Republic,2020,5.689199924,9.664880753,0.882085383,65.80748749,0.866202772,-0.131263286,0.755999923
Bosnia and Herzegovina,2020,5.674099922,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107
Moldova,2020,5.607500076,8.776714325,0.843313575,65.01301575,0.721609175,-0.037741039,0.913314283
Tajikistan,2020,5.555699825,8.024810791,0.835297108,64.10459137,0.831383407,-0.025088511,0.592076063
Montenegro,2020,5.54610014,9.751860619,0.855314612,68.50534821,0.649565637,-0.075600356,0.783121586
Russia,2020,5.546000004,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599
Kyrgyzstan,2020,5.541500092,8.148405075,0.887228489,64.10601044,0.909374893,0.154772058,0.888396084
Belarus,2020,5.539899826,9.779945374,0.90674746,66.10433197,0.639163077,-0.164926544,0.63571167
North Cyprus,2020,5.53550005,10.40570259,0.820356607,73.70222473,0.79529351,0.000227159,0.62611568
Greece,2020,5.514999866,10.13232613,0.814380348,72.40525818,0.541345119,-0.300907373,0.859931409
Hong Kong S.A.R. of China,2020,5.510399818,10.9346714,0.845969081,76.77170563,0.779833794,0.134979904,0.420607209
Croatia,2020,5.504700184,10.07087517,0.874623716,70.21490479,0.714838803,-0.128538325,0.916495264
Libya,2020,5.488800049,9.789815903,0.825942934,62.29999924,0.773157001,-0.085054487,0.668779135
Mongolia,2020,5.456200123,9.412186623,0.937142491,62.30448532,0.693351328,0.098093867,0.863511205
Malaysia,2020,5.384300232,10.26251888,0.816509426,67.10215759,0.894626856,0.114726797,0.839302301
Vietnam,2020,5.353499889,8.809545517,0.849987149,67.9527359,0.939592957,-0.094533332,0.79642123
Indonesia,2020,5.285600185,9.36975193,0.808379889,62.15584946,0.870614409,0.519586504,0.876296401
Ivory Coast,2020,5.233300209,8.225561142,0.658048689,49.50377274,0.727909327,-0.043991156,0.790771961
Benin,2020,5.21600008,7.674319744,0.468671143,54.31246567,0.735182583,-0.003537213,0.740532577
Maldives,2020,5.197599888,9.518632889,0.91316092,70.59999847,0.853962779,0.038085498,0.824211061
Congo (Brazzaville),2020,5.194399834,8.536987305,0.640228093,57.92448044,0.719058514,-0.123674095,0.751779079
Azerbaijan,2020,5.164800167,9.687726974,0.819308281,65.50839996,0.786824107,-0.240255281,0.55253756
Macedonia,2020,5.159800053,9.510591507,0.820392311,67.50442505,0.738840938,-0.019877451,0.897490501
Ghana,2020,5.147999763,8.350645065,0.728601098,57.20398712,0.794796526,0.094170853,0.847964764
Nepal,2020,5.137199879,7.925357342,0.785512447,63.77917862,0.797565043,0.154168829,0.738099158
Turkey,2020,5.131800175,10.12941933,0.826313555,66.90281677,0.608830452,-0.171046436,0.748197377
China,2020,5.123899937,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539711
Turkmenistan,2020,5.119100094,9.74803257,0.958966196,62.21170807,0.826457024,0.187671542,0.883691847
Bulgaria,2020,5.101500034,9.869318962,0.937840343,66.80397797,0.745178163,-0.143908441,0.935585141
Morocco,2020,5.094799995,8.940313339,0.592628479,65.89624023,0.772072434,-0.240377247,0.815724611
Cameroon,2020,5.084899902,8.118647575,0.700386405,52.7049408,0.763051808,-0.00149645,0.851336598
Venezuela,2020,5.053199768,8.977793694,0.890408158,66.50534058,0.62327832,-0.169090509,0.837038398
Algeria,2020,5.005099773,9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,0.735485137
Senegal,2020,4.980800152,8.118982315,0.723616004,59.59915161,0.690596163,-0.052335154,0.808785141
Guinea,2020,4.949299812,7.750990391,0.637573481,54.46780014,0.706846774,0.076328471,0.761794448
Niger,2020,4.909599781,6.842166901,0.617435038,53.50009537,0.759772122,0.013860817,0.722530186
Laos,2020,4.888599873,8.79858017,0.737502217,58.70992279,0.907213569,0.11137148,0.634679317
Albania,2020,4.882699966,9.417930603,0.671070457,68.70813751,0.781994224,-0.042309489,0.896303713
Cambodia,2020,4.848400116,8.249890327,0.773080647,61.52996826,0.959704638,0.051911179,0.822769046
Bangladesh,2020,4.832799911,8.287063599,0.687292993,64.50306702,0.90062499,-0.033664726,0.661843538
Gabon,2020,4.829299927,9.680537224,0.787886858,59.71533966,0.704829216,-0.222261623,0.849150956
South Africa,2020,4.814099789,9.403370857,0.852532268,56.50601196,0.759330094,-0.109777324,0.843423843
Iraq,2020,4.784800053,9.661095619,0.747694969,59.90354919,0.633182645,-0.06956476,0.82226181
Lebanon,2020,4.771500111,9.3617239,0.824338138,67.10658264,0.551357508,-0.06121527,0.90225625
Burkina Faso,2020,4.768700123,7.46854496,0.712943614,53.88945389,0.665563583,-0.019080516,0.739795029
Gambia,2020,4.750599861,7.321814537,0.6931687,55.0120163,0.733163178,0.343198717,0.690717816
Mali,2020,4.729300022,7.629852295,0.731468976,51.72698212,0.71156615,-0.044366926,0.839328408
Nigeria,2020,4.724100113,8.57662487,0.73721689,49.86190796,0.759578407,0.033745807,0.861874342
Armenia,2020,4.676799774,9.100476265,0.757479429,66.75065613,0.712017834,-0.13877961,0.773544788
Georgia,2020,4.672599792,9.226100922,0.629033029,64.49520874,0.801641524,-0.22892037,0.665944695
Iran,2020,4.672399998,9.813719749,0.694689691,66.00614929,0.647873282,0.117891103,0.714635968
Jordan,2020,4.633399963,9.025999069,0.80216372,66.79975128,0.75104779,-0.162565202,0.700344324
Mozambique,2020,4.623600006,7.069345951,0.723874032,54.20582199,0.864451885,0.032375868,0.683019102
Kenya,2020,4.583000183,8.02977562,0.702652037,60.09693146,0.829747558,0.294681519,0.831499159
Namibia,2020,4.571100235,9.203141212,0.846880972,56.50148773,0.767520964,-0.18530646,0.851449788
Ukraine,2020,4.56069994,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706,0.920636714
Liberia,2020,4.557899952,7.054380417,0.70928055,56.09631348,0.735268712,0.04227322,0.856375933
Palestinian Territories,2020,4.552800179,8.389223099,0.825295925,62.25,0.645791829,-0.162079096,0.824199975
Uganda,2020,4.43200016,7.500389576,0.764994621,55.70820236,0.731713951,0.099487431,0.836737812
Chad,2020,4.422699928,7.467963696,0.632388055,48.22053909,0.587305248,0.017834719,0.802760839
Tunisia,2020,4.392199993,9.314972878,0.688718557,66.89785767,0.593361557,-0.216413811,0.867590249
Mauritania,2020,4.374599934,8.233919144,0.790819228,57.01017761,0.551522553,-0.106008142,0.746223509
Sri Lanka,2020,4.327000141,9.389969826,0.825374067,67.20006561,0.837633669,0.081129618,0.859001756
Congo (Kinshasa),2020,4.31099987,6.694256306,0.672159016,52.90000153,0.700793564,0.083637655,0.809403598
Swaziland,2020,4.308100224,9.16267395,0.770290196,51.18823624,0.646822274,-0.19920142,0.708263338
Myanmar,2020,4.308000088,8.680481911,0.78440702,58.96171188,0.895075202,0.560663998,0.645124316
Comoros,2020,4.288599968,7.833630085,0.625662446,57.34901047,0.547612607,0.090008408,0.780622602
Togo,2020,4.187200069,7.357711315,0.551312625,54.71989822,0.649828613,0.002667875,0.757733464
Ethiopia,2020,4.186200142,7.509385586,0.743307352,58.63959122,0.740795195,0.043377332,0.753690004
Madagascar,2020,4.165599823,7.281685829,0.668195903,59.10542679,0.557574093,-0.011823639,0.817485631
Egypt,2020,4.151400089,9.316541672,0.735447824,61.78015137,0.708354175,-0.196878314,0.787726879
Sierra Leone,2020,3.926399946,7.26880312,0.636142015,50.86514282,0.715315044,0.088660747,0.861330688
Burundi,2020,3.775300026,6.492642403,0.490325719,53.40000153,0.626350224,-0.017551597,0.606934547
Zambia,2020,3.759399891,8.224720001,0.698824465,55.29937744,0.806500256,0.078037128,0.801289678
Haiti,2020,3.720799923,7.411329269,0.593247831,55.59862518,0.537825167,0.40053457,0.684767246
Lesotho,2020,3.652800083,7.960488319,0.780495703,48.00362396,0.738125861,-0.145732045,0.857392073
India,2020,3.573299885,8.849823952,0.592200935,60.21518707,0.881444871,0.057551607,0.772042692
Malawi,2020,3.538000107,7.062226295,0.544007301,57.59288788,0.803223193,0.021433279,0.731700778
Yemen,2020,3.527400017,7.759682655,0.817980587,56.72728348,0.599920273,-0.157735437,0.800287724
Botswana,2020,3.478899956,9.711203575,0.779121757,58.92445374,0.821328104,-0.250394493,0.777930915
Tanzania,2020,3.476200104,7.967665195,0.688933194,57.49607468,0.82153976,0.109668687,0.619799435
Central African Republic,2020,3.475899935,6.625160217,0.319459856,45.20000076,0.640880644,0.082410358,0.891806662
Rwanda,2020,3.312299967,7.600104332,0.54083544,61.09884644,0.900589406,0.055483952,0.183541179
Zimbabwe,2020,3.299200058,7.865711689,0.763092756,55.61725998,0.711457908,-0.072063953,0.81023699
South Sudan,2020,2.816600084,7.425359726,0.553707123,51,0.451313615,0.016518548,0.763417304
Afghanistan,2020,2.566900015,7.462860584,0.470366955,52.59000015,0.396573007,-0.0964294,0.933686554
Finland,2021,7.842,10.775,0.954,72,0.949,-0.098,0.186
Denmark,2021,7.62,10.933,0.954,72.7,0.946,0.03,0.179
Switzerland,2021,7.571,11.117,0.942,74.4,0.919,0.025,0.292
Iceland,2021,7.554,10.878,0.983,73,0.955,0.16,0.673
Netherlands,2021,7.464,10.932,0.942,72.4,0.913,0.175,0.338
Norway,2021,7.392,11.053,0.954,73.3,0.96,0.093,0.27
Sweden,2021,7.363,10.867,0.934,72.7,0.945,0.086,0.237
Luxembourg,2021,7.324,11.647,0.908,72.6,0.907,-0.034,0.386
New Zealand,2021,7.277,10.643,0.948,73.4,0.929,0.134,0.242
Austria,2021,7.268,10.906,0.934,73.3,0.908,0.042,0.481
Australia,2021,7.183,10.796,0.94,73.9,0.914,0.159,0.442
Israel,2021,7.157,10.575,0.939,73.503,0.8,0.031,0.753
Germany,2021,7.155,10.873,0.903,72.5,0.875,0.011,0.46
Canada,2021,7.103,10.776,0.926,73.8,0.915,0.089,0.415
Ireland,2021,7.085,11.342,0.947,72.4,0.879,0.077,0.363
Costa Rica,2021,7.069,9.88,0.891,71.4,0.934,-0.126,0.809
United Kingdom,2021,7.064,10.707,0.934,72.5,0.859,0.233,0.459
Czech Republic,2021,6.965,10.556,0.947,70.807,0.858,-0.208,0.868
United States,2021,6.951,11.023,0.92,68.2,0.837,0.098,0.698
Belgium,2021,6.834,10.823,0.906,72.199,0.783,-0.153,0.646
France,2021,6.69,10.704,0.942,74,0.822,-0.147,0.571
Bahrain,2021,6.647,10.669,0.862,69.495,0.925,0.089,0.722
Malta,2021,6.602,10.674,0.931,72.2,0.927,0.133,0.653
Taiwan Province of China,2021,6.584,10.871,0.898,69.6,0.784,-0.07,0.721
United Arab Emirates,2021,6.561,11.085,0.844,67.333,0.932,0.074,0.589
Saudi Arabia,2021,6.494,10.743,0.891,66.603,0.877,-0.149,0.684
Spain,2021,6.491,10.571,0.932,74.7,0.761,-0.081,0.745
Italy,2021,6.483,10.623,0.88,73.8,0.693,-0.084,0.866
Slovenia,2021,6.461,10.529,0.948,71.4,0.949,-0.101,0.806
Guatemala,2021,6.435,9.053,0.813,64.958,0.906,-0.038,0.775
Uruguay,2021,6.431,9.966,0.925,69.1,0.896,-0.092,0.59
Singapore,2021,6.377,11.488,0.915,76.953,0.927,-0.018,0.082
Kosovo,2021,6.372,9.318,0.821,63.813,0.869,0.257,0.917
Slovakia,2021,6.331,10.369,0.936,69.201,0.766,-0.124,0.911
Brazil,2021,6.33,9.577,0.882,66.601,0.804,-0.071,0.756
Mexico,2021,6.317,9.859,0.831,68.597,0.862,-0.147,0.799
Jamaica,2021,6.309,9.186,0.877,67.5,0.89,-0.137,0.884
Lithuania,2021,6.255,10.499,0.935,67.906,0.773,-0.203,0.826
Cyprus,2021,6.223,10.576,0.802,73.898,0.763,-0.015,0.844
Estonia,2021,6.189,10.481,0.941,68.8,0.909,-0.106,0.527
Panama,2021,6.18,10.35,0.896,69.652,0.872,-0.166,0.856
Uzbekistan,2021,6.179,8.836,0.918,65.255,0.97,0.311,0.515
Chile,2021,6.172,10.071,0.882,70,0.742,-0.044,0.83
Poland,2021,6.166,10.382,0.898,69.702,0.841,-0.165,0.735
Kazakhstan,2021,6.152,10.155,0.952,65.2,0.853,-0.069,0.733
Romania,2021,6.14,10.284,0.832,67.355,0.845,-0.219,0.938
Kuwait,2021,6.106,10.817,0.843,66.9,0.867,-0.104,0.736
Serbia,2021,6.078,9.787,0.873,68.6,0.778,0.002,0.835
El Salvador,2021,6.061,9.054,0.762,66.402,0.888,-0.11,0.688
Mauritius,2021,6.049,10.008,0.905,66.701,0.867,-0.054,0.789
Latvia,2021,6.032,10.315,0.927,67.1,0.715,-0.162,0.8
Colombia,2021,6.012,9.557,0.847,68.001,0.837,-0.135,0.841
Hungary,2021,5.992,10.358,0.943,68,0.755,-0.186,0.876
Thailand,2021,5.985,9.805,0.888,67.401,0.884,0.287,0.895
Nicaragua,2021,5.972,8.62,0.864,67.657,0.836,0.02,0.664
Japan,2021,5.94,10.611,0.884,75.1,0.796,-0.258,0.638
Argentina,2021,5.929,9.962,0.898,69,0.828,-0.182,0.834
Portugal,2021,5.929,10.421,0.879,72.6,0.892,-0.244,0.887
Honduras,2021,5.919,8.648,0.812,67.3,0.857,0.081,0.809
Croatia,2021,5.882,10.217,0.924,70.799,0.754,-0.118,0.939
Philippines,2021,5.88,9.076,0.83,62,0.917,-0.097,0.742
South Korea,2021,5.845,10.651,0.799,73.9,0.672,-0.083,0.727
Peru,2021,5.84,9.458,0.832,68.25,0.822,-0.154,0.891
Bosnia and Herzegovina,2021,5.813,9.59,0.87,68.098,0.706,0.113,0.931
Moldova,2021,5.766,9.454,0.857,65.699,0.822,-0.079,0.918
Ecuador,2021,5.764,9.313,0.821,68.8,0.842,-0.124,0.843
Kyrgyzstan,2021,5.744,8.538,0.893,64.401,0.935,0.119,0.908
Greece,2021,5.723,10.279,0.823,72.6,0.582,-0.288,0.823
Bolivia,2021,5.716,9.046,0.81,63.901,0.875,-0.077,0.839
Mongolia,2021,5.677,9.4,0.935,62.5,0.708,0.116,0.856
Paraguay,2021,5.653,9.448,0.893,65.9,0.876,0.028,0.882
Montenegro,2021,5.581,9.94,0.858,68.699,0.708,-0.034,0.812
Dominican Republic,2021,5.545,9.802,0.853,66.102,0.86,-0.133,0.714
North Cyprus,2021,5.536,10.576,0.82,73.898,0.795,0.012,0.626
Belarus,2021,5.534,9.853,0.91,66.253,0.65,-0.18,0.627
Russia,2021,5.477,10.189,0.903,64.703,0.718,-0.111,0.845
Hong Kong S.A.R. of China,2021,5.477,11,0.836,76.82,0.717,0.067,0.403
Tajikistan,2021,5.466,8.091,0.86,64.281,0.832,-0.056,0.553
Vietnam,2021,5.411,8.973,0.85,68.034,0.94,-0.098,0.796
Libya,2021,5.41,9.622,0.827,62.3,0.771,-0.087,0.667
Malaysia,2021,5.384,10.238,0.817,67.102,0.895,0.125,0.839
Indonesia,2021,5.345,9.365,0.811,62.236,0.873,0.542,0.867
Congo (Brazzaville),2021,5.342,8.117,0.636,58.221,0.695,-0.068,0.745
China,2021,5.339,9.673,0.811,69.593,0.904,-0.146,0.755
Ivory Coast,2021,5.306,8.551,0.644,50.114,0.741,-0.016,0.794
Armenia,2021,5.283,9.487,0.799,67.055,0.825,-0.168,0.629
Nepal,2021,5.269,8.12,0.774,64.233,0.782,0.152,0.727
Bulgaria,2021,5.266,10.016,0.931,67,0.788,-0.096,0.932
Maldives,2021,5.198,9.826,0.913,70.6,0.854,0.024,0.825
Azerbaijan,2021,5.171,9.569,0.836,65.656,0.814,-0.223,0.506
Cameroon,2021,5.142,8.189,0.71,53.515,0.731,0.026,0.848
Senegal,2021,5.132,8.118,0.71,59.802,0.695,-0.046,0.801
Albania,2021,5.117,9.52,0.697,68.999,0.785,-0.03,0.901
North Macedonia,2021,5.101,9.693,0.805,65.474,0.751,0.038,0.905
